Field,Dataset,Product,Obj__Id,Time,Duration_s,Area_Count,Elevation_,Swth_Wdth_,Y_Offset_f,Yld_Mass_W,Yld_Vol_Dr,Moisture__,Pass_Num,Track_deg_,Distance_f,Crop_Flw_M,Crop_Flw_V,Yld_Mass_D,Yld_Vol_We,Speed_mph_,Prod_ac_h_,Date,geometry,CRS
FENDT,L1: (ISO_ADAPT),NO Product,11.0,2024-09-26,1.111,On,3151.145,37.5,-1.25,1483.2537,29.6289,3.4,3.0,358.8213,2.1879,2.5146,174.0855,1483.2537,28.5241,1.3427,6.1031,2024-09-26,POINT (-114.26116959999999 51.883711399999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,1.0,2024-09-26,1.112,On,3151.4173,2.5,-16.25,1372.8907,27.4469,3.4,1.0,21.4451,0.8617,0.0611,4.2271,1372.8907,26.4017,0.5284,0.1601,2024-09-26,POINT (-114.2611812 51.8835348),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,2.0,2024-09-26,0.806,On,3151.4173,2.5,-16.25,1372.8907,27.4469,3.4,1.0,24.3543,1.2005,0.1174,8.125,1372.8907,26.4017,1.0156,0.3077,2024-09-26,POINT (-114.261179 51.8835378),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,3.0,2024-09-26,2.013,On,3151.378,5.0,-17.5,1372.8907,27.4469,3.4,1.0,29.0805,4.2133,0.3298,22.8344,1372.8907,26.4017,1.4271,0.8649,2024-09-26,POINT (-114.2611699 51.883547899999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,4.0,2024-09-26,1.425,On,3151.4075,7.5,-16.25,1372.8907,27.4469,3.4,1.0,34.6962,3.2813,0.5443,37.6819,1372.8907,26.4017,1.57,1.4273,2024-09-26,POINT (-114.2611616 51.8835553),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,5.0,2024-09-26,1.303,On,3151.4272,10.0,-15.0,1372.8907,27.4469,3.4,1.0,38.3846,2.7905,0.675,46.7295,1372.8907,26.4017,1.4602,1.7699,2024-09-26,POINT (-114.2611539 51.8835613),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,6.0,2024-09-26,1.018,On,3151.4534,12.5,-13.75,1372.8907,27.4469,3.4,1.0,42.5742,2.1288,0.8238,57.0346,1372.8907,26.4017,1.4258,2.1603,2024-09-26,POINT (-114.26114749999999 51.8835656),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,7.0,2024-09-26,0.995,On,3151.4633,15.0,-12.5,1372.8907,27.4469,3.4,1.0,46.6798,2.0724,0.9847,68.1685,1372.8907,26.4017,1.4201,2.582,2024-09-26,POINT (-114.26114079999999 51.8835695),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,8.0,2024-09-26,1.307,On,3151.5026,17.5,-11.25,1372.8907,27.4469,3.4,1.0,49.843,2.8266,1.1928,82.5797,1372.8907,26.4017,1.4745,3.1278,2024-09-26,POINT (-114.2611312 51.883574499999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,9.0,2024-09-26,1.113,On,3151.4862,22.5,-8.75,1372.8907,27.4469,3.4,1.0,55.5443,2.3197,1.478,102.3231,1372.8907,26.4017,1.4211,3.8756,2024-09-26,POINT (-114.2611227 51.8835781),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,10.0,2024-09-26,0.215,On,3151.4862,25.0,-7.5,1372.8907,27.4469,3.4,1.0,54.6719,0.4413,1.6173,111.9698,1372.8907,26.4017,1.3995,4.241,2024-09-26,POINT (-114.2611211 51.883578799999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,11.0,2024-09-26,1.82,On,3151.4895,32.5,-3.75,1372.8907,27.4469,3.4,1.0,60.8727,4.0445,2.2763,157.5871,1372.8907,26.4017,1.5152,5.9688,2024-09-26,POINT (-114.26110539999999 51.883584199999994),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,12.0,2024-09-26,0.907,On,3151.4993,40.0,0.0,1372.8907,27.4469,3.4,1.0,66.8645,2.2269,3.0953,214.2877,1372.8907,26.4017,1.674,8.1164,2024-09-26,POINT (-114.26109629999999 51.8835866),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,13.0,2024-09-26,1.098,On,3151.5354,40.0,0.0,1372.8907,27.4469,3.4,1.0,70.9059,2.7862,3.199,221.4683,1372.8907,26.4017,1.7301,8.3884,2024-09-26,POINT (-114.26108459999999 51.883589099999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,14.0,2024-09-26,1.021,On,3152.418,40.0,0.0,446.5576,8.9479,3.4,1.0,101.8071,0.7127,0.2862,19.816,446.5576,8.5876,0.4759,2.3075,2024-09-26,POINT (-114.2609344 51.8835833),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,15.0,2024-09-26,0.8,On,3152.4245,32.5,0.0962,647.6354,12.977,3.4,1.0,292.0487,0.0971,0.0587,4.0609,647.6354,12.4545,0.0828,0.3261,2024-09-26,POINT (-114.2609348 51.8835834),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,16.0,2024-09-26,1.307,On,3152.4245,32.5,0.0962,717.3073,14.332,3.4,1.0,104.3485,0.4413,0.1807,12.5108,717.3073,13.7944,0.2302,0.907,2024-09-26,POINT (-114.2609329 51.883583099999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,17.0,2024-09-26,1.119,On,3152.4344,40.0,0.0,777.5372,15.5035,3.4,1.0,99.6777,1.3012,0.8302,57.4787,777.5372,14.9526,0.7928,3.844,2024-09-26,POINT (-114.2609272 51.883582499999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,18.0,2024-09-26,0.705,On,3152.4803,40.0,0.0,574.1196,11.4841,3.4,1.0,99.2023,1.5958,1.1933,82.6139,574.1196,11.0408,1.5433,7.4826,2024-09-26,POINT (-114.2609202 51.883581799999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,19.0,2024-09-26,1.286,On,3152.5262,40.0,0.0,574.1196,11.4841,3.4,1.0,98.8541,2.3686,0.971,67.2229,574.1196,11.0408,1.2558,6.0886,2024-09-26,POINT (-114.2609098 51.8835808),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,20.0,2024-09-26,0.934,On,3152.5886,40.0,0.0,476.6038,9.5731,3.4,1.0,98.5983,1.7069,0.7998,55.3728,476.6038,9.1655,1.2461,6.0415,2024-09-26,POINT (-114.2609023 51.883580099999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,21.0,2024-09-26,0.689,On,3152.6509,40.0,0.0,462.7752,9.3021,3.4,1.0,99.8472,1.279,0.7889,54.6136,462.7752,8.8995,1.2657,6.1367,2024-09-26,POINT (-114.26089669999999 51.883579499999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,22.0,2024-09-26,0.896,On,3152.2539,2.5,18.75,2231.9734,44.673,4.2,5.0,60.8867,1.6485,0.2357,16.316,2231.9734,42.9226,1.2544,0.3801,2024-09-26,POINT (-114.2609985 51.8836648),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,23.0,2024-09-26,1.418,On,3152.29,7.5,8.75,1499.1113,29.984,4.4254,5.0,65.0537,2.5067,0.4563,31.5886,1499.1113,28.8291,1.2053,1.0957,2024-09-26,POINT (-114.26098839999999 51.8836677),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,24.0,2024-09-26,1.097,On,3152.3458,15.0,5.0,931.3495,18.6042,4.6,5.0,68.3593,2.3725,0.6936,48.02,931.3495,17.9106,1.4746,2.6811,2024-09-26,POINT (-114.2609786 51.883670099999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,25.0,2024-09-26,0.914,On,3153.6811,15.0,12.5,165.4482,3.303,5.6232,5.0,104.5748,3.7667,0.2348,16.2548,165.4482,3.1817,2.8099,5.1089,2024-09-26,POINT (-114.260632 51.8836618),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,26.0,2024-09-26,1.095,On,3153.75,12.5,13.75,713.3001,14.2402,5.7,5.0,108.8103,4.6357,0.8666,59.9923,713.3001,13.7173,2.8865,4.3735,2024-09-26,POINT (-114.2606125 51.8836577),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,27.0,2024-09-26,1.016,On,3153.8091,17.5,11.25,842.6722,16.8499,5.7307,5.0,114.2539,4.1712,1.3899,96.2225,842.6722,16.2052,2.7992,5.9377,2024-09-26,POINT (-114.26059559999999 51.883652999999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,28.0,2024-09-26,0.901,On,3153.8878,20.0,10.0,1134.5887,22.7384,5.8,5.0,120.3043,4.1182,2.381,164.8409,1134.5887,21.819,3.1164,7.5549,2024-09-26,POINT (-114.26057979999999 51.8836473),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,29.0,2024-09-26,1.015,On,3153.9206,25.0,7.5,1139.5591,22.8382,5.829,5.0,127.8541,4.2181,2.7179,188.1627,1139.5591,21.9146,2.8335,8.5862,2024-09-26,POINT (-114.260565 51.883640199999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,30.0,2024-09-26,1.41,On,3153.9633,27.5,6.25,1186.0677,23.772,6.1,5.0,136.3937,5.8404,3.1015,214.7196,1186.0677,22.809,2.8242,9.4138,2024-09-26,POINT (-114.2605471 51.883628599999994),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,31.0,2024-09-26,1.012,On,3153.9534,27.5,6.25,1120.3547,22.3966,6.2198,5.0,145.2232,4.2609,2.978,206.1682,1120.3547,21.5453,2.8707,9.5691,2024-09-26,POINT (-114.2605363 51.883618999999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,32.0,2024-09-26,1.112,On,3153.9403,27.5,6.25,1076.3292,21.4752,6.3,5.0,152.9404,4.7488,2.9018,200.8942,1076.3292,20.6986,2.9117,9.7057,2024-09-26,POINT (-114.2605267 51.883607399999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,33.0,2024-09-26,0.998,On,3153.9304,35.0,1.7857,1511.67,30.2424,6.3804,5.0,158.277,4.3168,5.2537,363.7189,1511.67,29.0706,2.9492,12.5116,2024-09-26,POINT (-114.2605196 51.883596399999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,34.0,2024-09-26,0.701,On,3153.9009,37.5,1.0833,1618.0625,32.385,6.4,5.0,162.0239,2.9896,5.9405,411.2678,1618.0625,31.1166,2.9078,13.217,2024-09-26,POINT (-114.2605155 51.883588599999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,35.0,2024-09-26,1.014,On,3153.8484,37.5,1.0833,1409.7132,28.2053,6.579,5.0,165.7894,4.4001,5.2662,364.5808,1409.7132,27.1099,2.9586,13.4483,2024-09-26,POINT (-114.2605107 51.883576899999994),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,36.0,2024-09-26,1.206,On,3153.7762,37.5,1.0833,1268.8622,25.3798,6.7,5.0,170.7993,5.2074,4.7166,326.5337,1268.8622,24.4012,2.944,13.3819,2024-09-26,POINT (-114.26050699999999 51.8835628),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,37.0,2024-09-26,1.212,On,3153.6745,37.5,1.0833,1164.8972,23.3354,6.9225,5.0,174.446,5.3478,4.4249,306.3371,1164.8972,22.4019,3.0084,13.6746,2024-09-26,POINT (-114.2605047 51.8835482),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,38.0,2024-09-26,0.878,On,3153.3957,40.0,0.0,1258.3914,25.1836,7.5333,6.0,175.8465,1.2428,1.6356,113.2372,1258.3914,24.1998,0.9651,4.6793,2024-09-26,POINT (-114.2605038 51.883540499999995),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,39.0,2024-09-26,1.435,On,3153.3301,40.0,0.0,1469.7818,29.3992,7.6,6.0,175.2157,2.1585,2.0301,140.5451,1469.7818,28.265,1.0256,4.9724,2024-09-26,POINT (-114.260503 51.8835346),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,40.0,2024-09-26,1.118,On,3153.2907,40.0,0.0,820.9262,16.4331,7.6719,6.0,176.0765,0.6578,0.4435,30.7044,820.9262,15.787,0.4011,1.9449,2024-09-26,POINT (-114.2605028 51.8835328),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,41.0,2024-09-26,1.397,On,3153.2448,40.0,0.0,567.5174,11.3692,7.7,6.0,180.0,0.0365,0.0136,0.9415,567.5174,10.9138,0.0178,0.0863,2024-09-26,POINT (-114.2605028 51.883532699999996),EPSG:4326
FENDT,L3: (ISO_ADAPT),NO Product,42.0,2024-09-26,0.812,On,3153.2448,40.0,0.0,667.6203,13.3215,7.8,6.0,180.0,0.0365,0.0275,1.9055,667.6203,12.8389,0.0306,0.1484,2024-09-26,POINT (-114.2605028 51.883532599999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,1.0,2024-09-27,0.901,On,3151.4501,35.0,-2.5,230.2766,4.5698,4.3,1.0,354.4334,2.0879,0.4288,29.683,230.2766,4.4284,1.58,6.7029,2024-09-27,POINT (-114.26117749999999 51.8838055),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,2.0,2024-09-27,1.014,On,3151.46,35.0,-2.5,295.134,5.8569,4.3,1.0,356.6583,2.7024,0.632,43.7529,295.134,5.6757,1.8171,7.7089,2024-09-27,POINT (-114.26117819999999 51.883812899999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,3.0,2024-09-27,1.113,On,3151.4731,35.0,-2.5,408.7178,8.1413,4.3,1.0,0.3844,3.3541,0.9897,68.5142,408.7178,7.86,2.0547,8.7169,2024-09-27,POINT (-114.2611781 51.883822099999996),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,4.0,2024-09-27,0.999,On,3151.4731,35.0,-2.5,449.3032,8.9576,4.3,1.0,1.1987,4.3028,1.5549,107.648,449.3032,8.6404,2.9367,12.4586,2024-09-27,POINT (-114.26117769999999 51.8838339),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,5.0,2024-09-27,0.923,On,3151.4501,35.0,-2.5,484.8174,9.6569,4.3,1.0,1.8287,4.2311,1.7857,123.6262,484.8174,9.3234,3.1255,13.2598,2024-09-27,POINT (-114.2611771 51.8838455),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,6.0,2024-09-27,0.702,On,3151.4501,35.0,-2.5,513.4511,10.2208,4.3,1.0,2.1295,3.028,1.7795,123.1955,513.4511,9.8741,2.9409,12.4767,2024-09-27,POINT (-114.2611766 51.8838538),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,7.0,2024-09-27,1.307,On,3151.4206,35.0,-2.5,780.9552,15.5876,4.3,1.0,1.6283,5.5437,2.6615,184.2572,780.9552,15.0184,2.8919,12.2688,2024-09-27,POINT (-114.2611759 51.883869),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,8.0,2024-09-27,0.998,On,3151.4075,35.0,-2.5,1200.3426,24.0017,4.3,1.0,1.7977,4.304,4.1594,287.9555,1200.3426,23.0835,2.9404,12.4745,2024-09-27,POINT (-114.26117529999999 51.8838808),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,9.0,2024-09-27,1.017,On,3151.3845,37.5,-1.25,1272.8196,25.4452,4.3,1.0,1.511,4.2669,4.5973,318.2738,1272.8196,24.4773,2.8606,13.0028,2024-09-27,POINT (-114.26117479999999 51.883892499999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,10.0,2024-09-27,1.016,On,3151.3747,37.5,-1.25,1292.5943,25.8391,4.3,1.0,1.7977,4.304,4.7139,326.3491,1292.5943,24.8576,2.8883,13.1288,2024-09-27,POINT (-114.2611742 51.8839043),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,11.0,2024-09-27,1.208,On,3151.3419,37.5,-1.25,1815.2389,36.3373,4.3,1.0,1.2539,5.1416,6.6513,460.4771,1815.2389,34.9084,2.902,13.191,2024-09-27,POINT (-114.2611737 51.8839184),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,12.0,2024-09-27,0.909,On,3151.3123,37.5,-1.25,2064.4215,41.3426,4.3,1.0,1.3343,3.8655,7.5575,523.2102,2064.4215,39.7004,2.8994,13.179,2024-09-27,POINT (-114.2611733 51.883928999999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,13.0,2024-09-27,0.998,On,3151.2927,37.5,-1.25,2093.2357,41.9014,4.3,1.0,0.8991,4.3024,7.7686,537.8252,2093.2357,40.2545,2.9393,13.3606,2024-09-27,POINT (-114.261173 51.8839408),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,14.0,2024-09-27,0.918,On,3151.2697,37.5,-1.25,2111.7964,42.2613,4.3,1.0,0.6045,4.2657,8.4477,584.8406,2111.7964,40.6115,3.1682,14.4009,2024-09-27,POINT (-114.2611728 51.8839525),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,15.0,2024-09-27,0.898,On,3151.2467,37.5,-1.25,1914.1021,38.3001,4.3,1.0,0.6673,3.8647,7.0916,490.9555,1914.1021,36.8097,2.9343,13.3377,2024-09-27,POINT (-114.2611726 51.883963099999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,16.0,2024-09-27,1.113,On,3151.2172,37.5,-1.25,1681.9428,33.6483,4.3,1.0,0.5441,4.7396,6.1659,426.8714,1681.9428,32.3451,2.9034,13.1974,2024-09-27,POINT (-114.26117239999999 51.8839761),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,17.0,2024-09-27,0.903,On,3151.1745,37.5,-1.25,1960.5722,39.2247,4.3,1.0,0.0,3.8644,7.223,500.0564,1960.5722,37.7033,2.9179,13.2629,2024-09-27,POINT (-114.26117239999999 51.883986699999994),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,18.0,2024-09-27,1.21,On,3151.1286,37.5,-1.25,2301.6529,46.051,4.3,1.0,0.4981,5.177,8.4777,586.9178,2301.6529,44.2626,2.9172,13.2599,2024-09-27,POINT (-114.26117219999999 51.8840009),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,19.0,2024-09-27,1.212,On,3151.086,37.5,-1.25,2083.9603,41.6871,4.3,1.0,0.7524,5.1408,7.6096,526.8191,2083.9603,40.0762,2.892,13.1454,2024-09-27,POINT (-114.2611719 51.884015),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,20.0,2024-09-27,0.997,On,3151.0597,37.5,-1.25,2083.9603,41.6871,4.3,1.0,0.6097,4.2292,7.6102,526.8597,2083.9603,40.0762,2.8922,13.1465,2024-09-27,POINT (-114.26117169999999 51.8840266),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,21.0,2024-09-27,1.111,On,3151.0367,40.0,0.0,1901.6874,38.0122,4.3,1.0,0.8161,4.7399,7.4501,515.7738,1901.6874,36.5709,2.9088,14.1034,2024-09-27,POINT (-114.2611714 51.884039599999994),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,22.0,2024-09-27,1.02,On,3151.0269,40.0,0.0,1901.6874,38.0122,4.3,1.0,1.813,4.2676,7.3062,505.812,1901.6874,36.5709,2.8527,13.831,2024-09-27,POINT (-114.26117079999999 51.884051299999996),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,23.0,2024-09-27,1.095,On,3151.0072,40.0,0.0,2311.8623,46.2058,4.3,1.0,1.7552,5.1428,9.9705,690.2678,2311.8623,44.4589,3.2022,15.526,2024-09-27,POINT (-114.2611701 51.8840654),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,24.0,2024-09-27,1.111,On,3150.9843,40.0,0.0,2397.603,47.9168,4.3,1.0,1.3496,4.7772,9.4668,655.393,2397.603,46.1078,2.9317,14.2144,2024-09-27,POINT (-114.26116959999999 51.8840785),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,25.0,2024-09-27,1.017,On,3150.9744,40.0,0.0,2351.169,46.9698,4.3,1.0,0.8991,4.3024,9.1337,632.332,2351.169,45.2148,2.8844,13.9851,2024-09-27,POINT (-114.26116929999999 51.8840903),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,26.0,2024-09-27,0.906,On,3150.9613,37.5,-1.25,2309.3783,46.1332,4.3,1.0,0.6736,3.8282,8.4005,581.5731,2309.3783,44.4111,2.881,13.0952,2024-09-27,POINT (-114.26116909999999 51.8841008),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,27.0,2024-09-27,1.101,On,3150.9678,37.5,-1.25,2179.067,43.5246,4.3,1.0,0.5441,4.7396,8.0754,559.0676,2179.067,41.9051,2.9351,13.3413,2024-09-27,POINT (-114.2611689 51.884113799999994),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,28.0,2024-09-27,0.917,On,3150.9744,37.5,-1.25,2107.0012,42.0935,4.3,1.0,0.3368,3.828,7.572,524.2161,2107.0012,40.5193,2.8463,12.9375,2024-09-27,POINT (-114.2611688 51.884124299999996),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,29.0,2024-09-27,1.018,On,3150.9711,37.5,-1.25,1953.5232,39.0458,4.3,1.0,0.3023,4.2655,7.0466,487.8438,1953.5232,37.5678,2.8569,12.9857,2024-09-27,POINT (-114.2611687 51.884136),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,30.0,2024-09-27,0.899,On,3150.981,37.5,-1.25,1953.5232,39.0458,4.3,1.0,359.3327,3.8647,7.2296,500.5095,1953.5232,37.5678,2.931,13.3228,2024-09-27,POINT (-114.2611689 51.8841466),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,31.0,2024-09-27,0.8,On,3150.9941,37.5,-1.25,2062.4587,41.2277,4.3,1.0,359.2476,3.4272,7.6064,526.5973,2062.4587,39.6627,2.9209,13.2769,2024-09-27,POINT (-114.26116909999999 51.884156),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,32.0,2024-09-27,1.113,On,3151.0007,37.5,-1.25,2062.4587,41.2277,4.3,1.0,358.7371,5.1052,8.1441,563.8216,2062.4587,39.6627,3.1274,14.2154,2024-09-27,POINT (-114.26116959999999 51.88417),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,33.0,2024-09-27,0.921,On,3151.0269,37.5,-1.25,2474.9148,49.4963,4.3,1.0,358.653,3.829,8.8579,613.2366,2474.9148,47.5945,2.8346,12.8846,2024-09-27,POINT (-114.26116999999999 51.8841805),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,34.0,2024-09-27,0.896,On,3151.0367,37.5,-1.25,2474.9148,49.4963,4.3,1.0,358.6657,3.8655,9.1917,636.347,2474.9148,47.5945,2.9415,13.3702,2024-09-27,POINT (-114.2611704 51.884191099999995),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,35.0,2024-09-27,1.011,On,3151.0367,37.5,-1.25,2457.5688,49.1773,4.3,1.0,358.7911,4.2664,8.928,618.0949,2457.5688,47.2609,2.8772,13.0783,2024-09-27,POINT (-114.26117079999999 51.8842028),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,36.0,2024-09-27,0.997,On,3151.0269,37.5,-1.25,2449.9337,49.0369,4.3,1.0,359.1009,4.3024,9.1015,630.1047,2449.9337,47.1141,2.9423,13.374,2024-09-27,POINT (-114.2611711 51.8842146),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,37.0,2024-09-27,1.015,On,3151.0335,35.0,-2.5,2461.2713,49.2748,4.3,1.0,358.1713,4.2311,8.2438,570.7258,2461.2713,47.3321,2.8422,12.0579,2024-09-27,POINT (-114.26117169999999 51.8842262),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,38.0,2024-09-27,0.912,On,3151.0302,35.0,-2.5,2466.3498,49.3814,4.3,1.0,357.0,3.8697,8.4085,582.1249,2466.3498,47.4298,2.893,12.2734,2024-09-27,POINT (-114.2611726 51.8842368),EPSG:4326
FENDT,L10: (ISO_ADAPT),NO Product,39.0,2024-09-27,0.995,On,3151.0302,35.0,-2.5,2246.2499,44.9605,4.3,1.0,357.0307,4.3442,7.8799,545.532,2246.2499,43.1971,2.9768,12.6289,2024-09-27,POINT (-114.26117359999999 51.8842487),EPSG:4326
